City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
525,norman wells,light snow,CA,1614182101,77,65.282,-126.8329,-20,4.12
526,hasaki,scattered clouds,JP,1614201146,29,35.7333,140.8333,7.78,2.06
527,lerwick,few clouds,GB,1614237300,81,60.1545,-1.1494,7,7.2
528,atuona,clear sky,PF,1614179976,76,-9.8,-139.0333,26.2,4.83
529,atuona,clear sky,PF,1614179976,76,-9.8,-139.0333,26.2,4.83
531,ushuaia,broken clouds,AR,1614160005,70,-54.8,-68.3,6,11.83
532,mar del plata,mist,AR,1614158987,94,-38.0023,-57.5575,19.44,1.54
533,tuatapere,overcast clouds,NZ,1614190733,68,-46.1333,167.6833,15.56,2.24
536,pisco,clear sky,PE,1614164735,78,-13.7,-76.2167,21.11,6.17
537,avarua,light rain,CK,1614184461,83,-21.2078,-159.775,28,5.14
538,port hawkesbury,overcast clouds,CA,1614163949,75,45.6169,-61.3485,2,4.63
539,katsuura,few clouds,JP,1614201240,24,35.1333,140.3,8.89,4.47
540,santa cruz,overcast clouds,BO,1614161424,89,-17.8,-63.1667,27,2.57
542,chuy,clear sky,UY,1614158278,88,-33.6971,-53.4616,18.7,2.32
543,stornoway,broken clouds,GB,1614238287,81,58.2093,-6.3865,7,9.77
544,alice springs,clear sky,AU,1614200271,12,-23.7,133.8833,28,6.69
545,grindavik,clear sky,IS,1614243006,93,63.8424,-22.4338,0,3.09
546,new norfolk,overcast clouds,AU,1614195964,70,-42.7826,147.0587,13.89,1.79
547,sanford,few clouds,US,1614167715,77,28.8006,-81.2731,21.11,2.06
